organism	domain	temperature
Aureimonas altamirensis	Bacteria	37.0
Aureimonas endophytica	Bacteria	29.0
Aureimonas ferruginea	Bacteria	25.0
Aureimonas frigidaquae	Bacteria	28.0
Aureimonas galii	Bacteria	25.0
Aureimonas glaciei	Bacteria	20.0
Aureimonas jatrophae	Bacteria	28.0
Aureimonas phyllosphaerae	Bacteria	28.0
Aureimonas populi	Bacteria	30.0
Aureimonas pseudogalii	Bacteria	25.0
Aureimonas rubiginis	Bacteria	25.0
Aureimonas sp.	Bacteria	28.0
Aureimonas ureilytica	Bacteria	28.0
Aureisphaera salina	Bacteria	30.0
Aureispira maritima	Bacteria	27.0
Aureitalea marina	Bacteria	23.0
Aureivirga marina	Bacteria	26.0
Auricoccus indicus	Bacteria	35.0
Auritidibacter ignavus	Bacteria	37.0
Auritidibacter sp.	Bacteria	37.0
Austwickia chelonae	Bacteria	37.0
Avibacterium avium	Bacteria	37.0
Avibacterium endocarditidis	Bacteria	37.0
Avibacterium gallinarum	Bacteria	37.0
Avibacterium paragallinarum	Bacteria	37.0
Avibacterium volantium	Bacteria	37.0
Azoarcus alkani	None	30.0
Azoarcus communis	Bacteria	28.0
Azoarcus indigens	Bacteria	28.0
Azoarcus olearius	Bacteria	37.0
Azoarcus petroleum	None	30.0
Azoarcus sp.	Bacteria	34.0
Azoarcus taiwanensis	Bacteria	35.0
Azoarcus toluolicum	None	30.0
Azohydromonas australica	Bacteria	30.0
Azohydromonas lata	Bacteria	30.0
Azohydromonas lata	Bacteria	37.0
Azohydromonas sp.	Bacteria	30.0
Azomonas agilis	Bacteria	26.0
Azomonas macrocytogenes	Bacteria	28.0
Azonexus caeni	Bacteria	30.0
Azonexus fungiphilus	Bacteria	28.0
Azonexus hydrophilus	Bacteria	28.0
Azorhizobium caulinodans	Bacteria	30.0
Azorhizobium caulinodans	Bacteria	37.0
Azorhizobium doebereinerae	Bacteria	28.0
Azorhizobium oxalatiphilum	Bacteria	30.0
Azorhizophilus paspali	Bacteria	30.0
Azospira oryzae	Bacteria	28.0
Azospira oryzae	Bacteria	30.0
Azospira oryzae	Bacteria	37.0
Azospira restricta	Bacteria	37.0
Azospirillum agricola	Bacteria	29.0
Azospirillum brasilense	Bacteria	30.0
Azospirillum brasilense	Bacteria	37.0
Azospirillum canadense	Bacteria	29.0
Azospirillum doebereinerae	Bacteria	30.0
Azospirillum fermentarium	Bacteria	29.0
Azospirillum halopraeferens	Bacteria	37.0
Azospirillum himalayense	None	37.0
Azospirillum humicireducens	Bacteria	30.0
Azospirillum humicireducens	Bacteria	31.0
Azospirillum largimobile	Bacteria	30.0
Azospirillum lipoferum	Bacteria	30.0
Azospirillum melinis	Bacteria	21.0
Azospirillum oryzae	Bacteria	21.0
Azospirillum picis	Bacteria	37.0
Azospirillum rugosum	Bacteria	28.0
Azospirillum sp.	Bacteria	28.0
Azospirillum sp.	Bacteria	30.0
Azospirillum thiophilum	Bacteria	28.0
Azospirillum zeae	Bacteria	31.0
Azotobacter armeniacus	Bacteria	30.0
Azotobacter beijerinckii	Bacteria	30.0
Azotobacter chroococcum	Bacteria	22.0
Azotobacter chroococcum	Bacteria	30.0
Azotobacter nigricans	Bacteria	30.0
Azotobacter salinestris	Bacteria	30.0
Azotobacter sp.	Bacteria	30.0
Azotobacter vinelandii	Bacteria	30.0
Azovibrio restrictus	Bacteria	28.0
Bacillus abyssalis	Bacteria	28.0
Bacillus acanthi	Bacteria	30.0
Bacillus acidiceler	Bacteria	30.0
Bacillus acidicola	Bacteria	35.0
Bacillus acidiproducens	Bacteria	30.0
Bacillus acidovorans	None	30.0
Bacillus aidingensis	Bacteria	30.0
Bacillus akibai	Bacteria	35.0
Bacillus albus	Bacteria	28.0
Bacillus alcalophilus	Bacteria	30.0
Bacillus alcalophilus	Bacteria	46.0
Bacillus algeriensis	Bacteria	30.0
Bacillus algicola	Bacteria	30.0
Bacillus alkalilacus	Bacteria	29.0
Bacillus alkalinitrilicus	Bacteria	28.0
Bacillus alkalisediminis	Bacteria	25.0
Bacillus alkalitelluris	Bacteria	30.0
Bacillus alkalitolerans	Bacteria	28.0
Bacillus altitudinis	Bacteria	25.0
Bacillus altitudinis	Bacteria	30.0
Bacillus alveayuensis	Bacteria	55.0
Bacillus aminovorans	Bacteria	28.0
Bacillus aminovorans	Bacteria	30.0
Bacillus amyloliquefaciens	Bacteria	30.0
Bacillus andreesenii	Bacteria	37.0
Bacillus aquimaris	Bacteria	30.0
Bacillus arbutinivorans	None	37.0
Bacillus aryabhattai	Bacteria	28.0
Bacillus aryabhattai	Bacteria	37.0
Bacillus asahii	Bacteria	30.0
Bacillus atrophaeus	Bacteria	28.0
Bacillus atrophaeus	Bacteria	30.0
Bacillus atrophaeus	Bacteria	37.0
Bacillus aurantiacus	Bacteria	20.0
Bacillus australimaris	Bacteria	27.0
Bacillus azotoformans	Bacteria	30.0
Bacillus bataviensis	Bacteria	30.0
Bacillus benzoevorans	Bacteria	30.0
Bacillus benzoevorans	Bacteria	32.0
Bacillus benzoevorans	Bacteria	35.0
Bacillus benzoevorans	Bacteria	37.0
Bacillus beringensis	Bacteria	30.0
Bacillus beveridgei	Bacteria	30.0
Bacillus bogoriensis	Bacteria	25.0
Bacillus boroniphilus	Bacteria	30.0
Bacillus butanolivorans	Bacteria	30.0
Bacillus camelliae	Bacteria	38.0
Bacillus campisalis	Bacteria	30.0
Bacillus canaveralius	Bacteria	30.0
Bacillus capparidis	Bacteria	25.0
Bacillus carboniphilus	Bacteria	30.0
Bacillus cavernae	Bacteria	4.0
Bacillus cecembensis	Bacteria	22.0
Bacillus cellulosilyticus	Bacteria	30.0
Bacillus cereus	Bacteria	25.0
Bacillus cereus	Bacteria	28.0
Bacillus cereus	Bacteria	30.0
Bacillus cereus	Bacteria	37.0
Bacillus chagannorensis	Bacteria	30.0
Bacillus chungangensis	Bacteria	30.0
Bacillus ciccensis	Bacteria	30.0
Bacillus circulans	Bacteria	28.0
Bacillus circulans	Bacteria	30.0
Bacillus circulans	Bacteria	37.0
Bacillus clarkii	Bacteria	30.0
Bacillus clausii	Bacteria	28.0
Bacillus clausii	Bacteria	30.0
Bacillus clausii	Bacteria	37.0
Bacillus coagulans	Bacteria	28.0
Bacillus coagulans	Bacteria	30.0
Bacillus coagulans	Bacteria	37.0
Bacillus coagulans	Bacteria	43.0
Bacillus coagulans	Bacteria	55.0
Bacillus coahuilensis	Bacteria	30.0
Bacillus cohnii	Bacteria	30.0
Bacillus composti	Bacteria	45.0
Bacillus composti	Bacteria	50.0
Bacillus crassostreae	Bacteria	30.0
Bacillus cucumis	Bacteria	31.0
Bacillus cytotoxicus	Bacteria	37.0
Bacillus dakarensis	None	37.0
Bacillus daliensis	Bacteria	30.0
Bacillus decisifrondis	Bacteria	30.0
Bacillus decolorationis	Bacteria	28.0
Bacillus deserti	Bacteria	30.0
Bacillus drentensis	Bacteria	30.0
Bacillus drentensis	Bacteria	37.0
Bacillus ectoiniformans	Bacteria	28.0
Bacillus eiseniae	Bacteria	30.0
Bacillus encimensis	Bacteria	28.0
Bacillus encimensis	Bacteria	30.0
Bacillus endophyticus	Bacteria	30.0
Bacillus endoradicis	Bacteria	28.0
Bacillus endozanthoxylicus	Bacteria	30.0
Bacillus farraginis	Bacteria	30.0
Bacillus fastidiosus	Bacteria	30.0
Bacillus fengqiuensis	Bacteria	30.0
Bacillus fermenti	Bacteria	30.0
Bacillus filamentosus	Bacteria	30.0
Bacillus firmus	Bacteria	28.0
Bacillus firmus	Bacteria	30.0
Bacillus firmus	Bacteria	37.0
Bacillus firmus	Bacteria	42.0
Bacillus flavothermus	None	49.0
Bacillus flexus	Bacteria	28.0
Bacillus flexus	Bacteria	30.0
Bacillus flexus	Bacteria	37.0
Bacillus foraminis	Bacteria	34.0
Bacillus foraminis	Bacteria	37.0
Bacillus fordii	Bacteria	30.0
Bacillus fortis	Bacteria	30.0
Bacillus fumarioli	Bacteria	42.0
Bacillus fumarioli	Bacteria	45.0
Bacillus funiculus	Bacteria	30.0
Bacillus gaemokensis	None	30.0
Bacillus galactosidilyticus	Bacteria	30.0
Bacillus galactosidilyticus	Bacteria	37.0
Bacillus galactosidilyticus	Bacteria	40.0
Bacillus galliciensis	Bacteria	22.0
Bacillus gibsonii	Bacteria	28.0
Bacillus gibsonii	Bacteria	30.0
Bacillus ginsengihumi	Bacteria	28.0
Bacillus ginsengihumi	Bacteria	30.0
Bacillus ginsengisoli	Bacteria	30.0
Bacillus gobiensis	Bacteria	28.0
Bacillus gossypii	Bacteria	30.0
Bacillus gottheilii	Bacteria	30.0
Bacillus graminis	Bacteria	30.0
Bacillus halmapalus	Bacteria	30.0
Bacillus halodurans	Bacteria	30.0
Bacillus halodurans	Bacteria	37.0
Bacillus halosaccharovorans	Bacteria	30.0
Bacillus halotolerans	Bacteria	28.0
Bacillus halotolerans	Bacteria	30.0
Bacillus halotolerans	Bacteria	37.0
Bacillus haynesii	Bacteria	38.0
Bacillus hemicellulosilyticus	Bacteria	30.0
Bacillus hemicentroti	Bacteria	28.0
Bacillus herbersteinensis	Bacteria	30.0
Bacillus horikoshii	Bacteria	30.0
Bacillus horikoshii	Bacteria	37.0
Bacillus horneckiae	Bacteria	27.0
Bacillus horti	Bacteria	30.0
Bacillus huizhouensis	Bacteria	30.0
Bacillus humi	Bacteria	30.0
Bacillus humi	Bacteria	37.0
Bacillus hunanensis	Bacteria	28.0
Bacillus hwajinpoensis	Bacteria	30.0
Bacillus idriensis	Bacteria	28.0
Bacillus idriensis	Bacteria	30.0
Bacillus idriensis	Bacteria	37.0
Bacillus indicus	Bacteria	30.0
Bacillus infantis	Bacteria	37.0
Bacillus infernus	Bacteria	55.0
Bacillus iocasae	Bacteria	33.0
Bacillus isabeliae	Bacteria	36.0
Bacillus jeddahensis	Bacteria	30.0
Bacillus jeotgali	Bacteria	30.0
Bacillus kexueae	Bacteria	50.0
Bacillus kiskunsagensis	Bacteria	25.0
Bacillus kochii	Bacteria	28.0
Bacillus kochii	Bacteria	30.0
Bacillus kochii	Bacteria	37.0
Bacillus koreensis	Bacteria	30.0
Bacillus korlensis	Bacteria	26.0
Bacillus korlensis	Bacteria	37.0
Bacillus kribbensis	Bacteria	30.0
Bacillus krulwichiae	Bacteria	30.0
Bacillus lacus	Bacteria	34.0
Bacillus lehensis	Bacteria	30.0
Bacillus lehensis	Bacteria	37.0
Bacillus lentus	Bacteria	26.0
Bacillus lentus	Bacteria	30.0
Bacillus lentus	Bacteria	37.0
Bacillus licheniformis	Bacteria	28.0
Bacillus licheniformis	Bacteria	30.0
Bacillus licheniformis	Bacteria	35.0
Bacillus licheniformis	Bacteria	37.0
Bacillus licheniformis	Bacteria	42.0
Bacillus licheniformis	Bacteria	43.0
Bacillus licheniformis	Bacteria	50.0
Bacillus ligniniphilus	Bacteria	30.0
Bacillus lindianensis	Bacteria	30.0
Bacillus litoralis	Bacteria	30.0
Bacillus loiseleuriae	Bacteria	28.0
Bacillus luciferensis	Bacteria	30.0
Bacillus luteolus	Bacteria	30.0
Bacillus luti	Bacteria	25.0
Bacillus macroides	None	30.0
Bacillus macroides	None	37.0
Bacillus macyae	Bacteria	30.0
Bacillus malikii	Bacteria	30.0
Bacillus mangrovi	Bacteria	31.0
Bacillus manliponensis	Bacteria	30.0
Bacillus mannanilyticus	Bacteria	30.0
Bacillus manusensis	Bacteria	58.0
Bacillus marinisedimentorum	Bacteria	33.0
Bacillus marisflavi	Bacteria	30.0
Bacillus maritimus	Bacteria	27.0
Bacillus marmarensis	Bacteria	30.0
Bacillus maroccanus	None	30.0
Bacillus massiliogabonensis	None	37.0
Bacillus massiliosenegalensis	Bacteria	37.0
Bacillus megaterium	Bacteria	25.0
Bacillus megaterium	Bacteria	28.0
Bacillus megaterium	Bacteria	30.0
Bacillus megaterium	Bacteria	37.0
Bacillus mesonae	Bacteria	30.0
Bacillus mesophilus	Bacteria	30.0
Bacillus methanolicus	Bacteria	45.0
Bacillus mobilis	Bacteria	25.0
Bacillus mojavensis	Bacteria	28.0
Bacillus mojavensis	Bacteria	30.0
Bacillus mojavensis	Bacteria	53.0
Bacillus muralis	Bacteria	30.0
Bacillus murimartini	Bacteria	28.0
Bacillus mycoides	Bacteria	25.0
Bacillus mycoides	Bacteria	28.0
Bacillus mycoides	Bacteria	30.0
Bacillus mycoides	Bacteria	37.0
Bacillus nakamurai	Bacteria	37.0
Bacillus nanhaiisediminis	Bacteria	30.0
Bacillus ndiopicus	Bacteria	30.0
Bacillus nealsonii	Bacteria	30.0
Bacillus niabensis	Bacteria	30.0
Bacillus niacini	Bacteria	28.0
Bacillus niacini	Bacteria	30.0
Bacillus niameyensis	Bacteria	30.0
Bacillus nitratireducens	Bacteria	23.0
Bacillus nitritollens	None	30.0
Bacillus notoginsengisoli	Bacteria	32.0
Bacillus novalis	Bacteria	30.0
Bacillus novalis	Bacteria	37.0
Bacillus oceani	Bacteria	30.0
Bacillus oceanisediminis	Bacteria	30.0
Bacillus okhensis	Bacteria	35.0
Bacillus okuhidensis	Bacteria	45.0
Bacillus oleivorans	Bacteria	35.0
Bacillus oleivorans	Bacteria	37.0
Bacillus oleronius	Bacteria	30.0
Bacillus oleronius	Bacteria	37.0
Bacillus oryzisoli	Bacteria	30.0
Bacillus oryziterrae	Bacteria	30.0
Bacillus oshimensis	Bacteria	30.0
Bacillus pacificus	Bacteria	30.0
Bacillus pakistanensis	Bacteria	30.0
Bacillus panaciterrae	Bacteria	30.0
Bacillus paraflexus	Bacteria	29.0
Bacillus paramycoides	Bacteria	27.0
Bacillus paranthracis	Bacteria	30.0
Bacillus patagoniensis	Bacteria	30.0
Bacillus persicus	Bacteria	28.0
Bacillus pervagus	Bacteria	37.0
Bacillus phocaeensis	None	37.0
Bacillus piscicola	Bacteria	35.0
Bacillus plakortidis	Bacteria	28.0
Bacillus pocheonensis	Bacteria	30.0
Bacillus polygoni	Bacteria	26.0
Bacillus populi	Bacteria	30.0
Bacillus praedii	Bacteria	28.0
Bacillus proteolyticus	Bacteria	25.0
Bacillus pseudalcaliphilus	Bacteria	28.0
Bacillus pseudalcaliphilus	Bacteria	30.0
Bacillus pseudoboroniphilus	None	37.0
Bacillus pseudofirmus	Bacteria	30.0
Bacillus pseudomycoides	Bacteria	30.0
Bacillus psychrosaccharolyticus	Bacteria	20.0
Bacillus psychrosaccharolyticus	Bacteria	23.0
Bacillus psychrosaccharolyticus	Bacteria	30.0
Bacillus psychrosaccharolyticus	Bacteria	37.0
Bacillus pumilus	Bacteria	26.0
Bacillus pumilus	Bacteria	28.0
Bacillus pumilus	Bacteria	30.0
Bacillus pumilus	Bacteria	34.0
Bacillus pumilus	Bacteria	37.0
Bacillus purgationiresistens	Bacteria	26.0
Bacillus rhizosphaerae	Bacteria	29.0
Bacillus rubiinfantis	Bacteria	37.0
Bacillus ruris	Bacteria	30.0
Bacillus safensis	Bacteria	28.0
Bacillus safensis	Bacteria	37.0
Bacillus safensis	Bacteria	50.0
Bacillus salarius	Bacteria	30.0
Bacillus salsus	Bacteria	25.0
Bacillus selenatarsenatis	Bacteria	40.0
Bacillus selenitireducens	Bacteria	26.0
Bacillus seohaeanensis	Bacteria	30.0
Bacillus shackletonii	Bacteria	30.0
Bacillus siamensis	Bacteria	30.0
Bacillus simplex	Bacteria	28.0
Bacillus simplex	Bacteria	30.0
Bacillus simplex	Bacteria	37.0
Bacillus sinesaloumensis	None	37.0
Bacillus siralis	Bacteria	30.0
Bacillus siralis	Bacteria	37.0
Bacillus smithii	Bacteria	55.0
Bacillus soli	Bacteria	30.0
Bacillus solimangrovi	Bacteria	30.0
Bacillus solisilvae	Bacteria	30.0
Bacillus songklensis	Bacteria	28.0
Bacillus sonorensis	Bacteria	28.0
Bacillus sonorensis	Bacteria	30.0
Bacillus sp.	Bacteria	20.0
Bacillus sp.	Bacteria	25.0
Bacillus sp.	Bacteria	26.0
Bacillus sp.	Bacteria	28.0
Bacillus sp.	Bacteria	30.0
Bacillus sp.	Bacteria	34.0
Bacillus sp.	Bacteria	35.0
Bacillus sp.	Bacteria	37.0
Bacillus sp.	Bacteria	42.0
Bacillus sp.	Bacteria	45.0
Bacillus sp.	Bacteria	50.0
Bacillus sp.	Bacteria	51.0
Bacillus sp.	Bacteria	55.0
Bacillus sp.	Bacteria	56.0
Bacillus sp.	Bacteria	60.0
Bacillus sp.	Bacteria	70.0
Bacillus spongiae	Bacteria	30.0
Bacillus sporothermodurans	Bacteria	30.0
Bacillus sporothermodurans	Bacteria	37.0
Bacillus stamsii	Bacteria	30.0
Bacillus subterraneus	Bacteria	40.0
Bacillus subtilis	Bacteria	25.0
Bacillus subtilis	Bacteria	28.0
Bacillus subtilis	Bacteria	30.0
Bacillus subtilis	Bacteria	35.0
Bacillus subtilis	Bacteria	37.0
Bacillus swezeyi	Bacteria	38.0
Bacillus taeanensis	Bacteria	30.0
Bacillus taiwanensis	Bacteria	30.0
Bacillus tamaricis	Bacteria	33.0
Bacillus tequilensis	Bacteria	38.0
Bacillus terrae	Bacteria	30.0
Bacillus thermoamylovorans	Bacteria	30.0
Bacillus thermoamylovorans	Bacteria	37.0
Bacillus thermoamylovorans	Bacteria	45.0
Bacillus thermoamylovorans	Bacteria	50.0
Bacillus thermocloacae	Bacteria	55.0
Bacillus thermocopriae	Bacteria	50.0
Bacillus thermolactis	Bacteria	55.0
Bacillus thermophilus	Bacteria	48.0
Bacillus thermophilus	Bacteria	50.0
Bacillus thermoterrestis	Bacteria	55.0
Bacillus thermotolerans	Bacteria	43.0
Bacillus thioparans	Bacteria	25.0
Bacillus thuringiensis	Bacteria	30.0
Bacillus thuringiensis	Bacteria	34.0
Bacillus tianmuensis	Bacteria	30.0
Bacillus tianshenii	Bacteria	30.0
Bacillus timonensis	Bacteria	30.0
Bacillus tropicus	Bacteria	30.0
Bacillus trypoxylicola	Bacteria	30.0
Bacillus urbisdiaboli	Bacteria	30.0
Bacillus urumqiensis	Bacteria	25.0
Bacillus vallismortis	Bacteria	30.0
Bacillus vallismortis	Bacteria	37.0
Bacillus vedderi	Bacteria	30.0
Bacillus velezensis	Bacteria	30.0
Bacillus vietnamensis	Bacteria	30.0
Bacillus vireti	Bacteria	30.0
Bacillus vireti	Bacteria	37.0
Bacillus viscosus	None	30.0
Bacillus wakoensis	Bacteria	30.0
Bacillus wiedmannii	Bacteria	24.0
Bacillus wudalianchiensis	Bacteria	35.0
Bacillus wuyishanensis	Bacteria	30.0
Bacillus xiamenensis	Bacteria	30.0
Bacillus xiaoxiensis	Bacteria	28.0
Bacillus zeae	Bacteria	50.0
Bacillus zhangzhouensis	Bacteria	27.0
Bacillus zhanjiangensis	Bacteria	28.0
Bacillus zvezdaensis	None	37.0
Bacterioplanoides pacificum	Bacteria	24.0
Bacteriovorax stolpii	Bacteria	25.0
Bacteroides acidifaciens	Bacteria	37.0
Bacteroides barnesiae	Bacteria	37.0
Bacteroides caccae	Bacteria	37.0
Bacteroides caecicola	Bacteria	33.0
Bacteroides caecimuris	Bacteria	37.0
Bacteroides cellulosilyticus	Bacteria	37.0
Bacteroides clarus	Bacteria	37.0
Bacteroides coagulans	Bacteria	37.0
Bacteroides congonensis	None	37.0
Bacteroides coprocola	Bacteria	37.0
Bacteroides coprophilus	Bacteria	37.0
Bacteroides coprosuis	Bacteria	37.0
Bacteroides dorei	Bacteria	37.0
Bacteroides eggerthii	Bacteria	37.0
Bacteroides faecichinchillae	Bacteria	37.0
Bacteroides faecis	Bacteria	37.0
Bacteroides finegoldii	Bacteria	37.0
Bacteroides fluxus	Bacteria	37.0
Bacteroides forsythus	Bacteria	37.0
Bacteroides fragilis	Bacteria	37.0
Bacteroides galacturonicus	Bacteria	37.0
Bacteroides gallinaceum	Bacteria	37.0
Bacteroides gallinarum	Bacteria	37.0
Bacteroides graminisolvens	Bacteria	35.0
Bacteroides helcogenes	Bacteria	37.0
Bacteroides intestinalis	Bacteria	37.0
Bacteroides koreensis	Bacteria	28.0
Bacteroides kribbi	Bacteria	28.0
Bacteroides luti	Bacteria	37.0
Bacteroides massiliensis	Bacteria	37.0
Bacteroides neonati	Bacteria	37.0
Bacteroides nordii	Bacteria	37.0
Bacteroides oleiciplenus	Bacteria	37.0
Bacteroides ovatus	Bacteria	37.0
Bacteroides paurosaccharolyticus	Bacteria	30.0
Bacteroides plebeius	Bacteria	37.0
Bacteroides propionicifaciens	Bacteria	30.0
Bacteroides propionicifaciens	Bacteria	37.0
Bacteroides pyogenes	Bacteria	37.0
Bacteroides reticulotermitis	Bacteria	33.0
Bacteroides reticulotermitis	Bacteria	37.0
Bacteroides rodentium	Bacteria	37.0
Bacteroides salanitronis	Bacteria	37.0
Bacteroides salyersiae	Bacteria	37.0
Bacteroides sartorii	Bacteria	37.0
Bacteroides sp.	Bacteria	37.0
Bacteroides stercorirosoris	Bacteria	37.0
Bacteroides stercoris	Bacteria	37.0
Bacteroides thetaiotaomicron	Bacteria	37.0
Bacteroides uniformis	Bacteria	37.0
Bacteroides vulgatus	Bacteria	37.0
Bacteroides xylanisolvens	Bacteria	37.0
Bacteroides xylanolyticus	Bacteria	37.0
Baia soyae	Bacteria	37.0
Bailinhaonella thermotolerans	Bacteria	28.0
Balnearium lithotrophicum	Bacteria	70.0
Balneatrix alpica	Bacteria	30.0
Balneicella halophila	Bacteria	37.0
Balneola alkaliphila	Bacteria	25.0
Balneola vulgaris	Bacteria	28.0
Bariatricus massiliensis	Bacteria	37.0
Barnesiella intestinihominis	Bacteria	37.0
Barnesiella sp.	Bacteria	37.0
Barnesiella viscericola	Bacteria	37.0
Barnettozyma vustinii	None	22.0
Barrientosiimonas humi	Bacteria	28.0
Barrientosiimonas marina	Bacteria	28.0
Bartonella acomydis	Bacteria	37.0
Bartonella alsatica	Bacteria	37.0
Bartonella ancashensis	Bacteria	30.0
Bartonella australis	None	37.0
Bartonella bacilliformis	Bacteria	30.0
Bartonella birtlesii	Bacteria	37.0
Bartonella bovis	Bacteria	37.0
Bartonella callosciuri	Bacteria	37.0
Bartonella capreoli	Bacteria	37.0
Bartonella chomelii	Bacteria	37.0
Bartonella clarridgeiae	Bacteria	37.0
Bartonella coopersplainsensis	Bacteria	37.0
Bartonella doshiae	Bacteria	37.0
Bartonella elizabethae	Bacteria	37.0
Bartonella florencae	Bacteria	37.0
Bartonella fuyuanensis	Bacteria	37.0
Bartonella grahamii	Bacteria	37.0
Bartonella heixiaziensis	Bacteria	37.0
Bartonella henselae	Bacteria	37.0
Bartonella jaculi	Bacteria	37.0
Bartonella japonica	Bacteria	35.0
Bartonella koehlerae	Bacteria	37.0
Bartonella pachyuromydis	Bacteria	37.0
Bartonella phoceensis	None	37.0
Bartonella queenslandensis	Bacteria	37.0
Bartonella quintana	Bacteria	37.0
Bartonella rattaustraliani	Bacteria	37.0
Bartonella rattimassiliensis	None	37.0
Bartonella rochalimae	Bacteria	37.0
Bartonella schoenbuchensis	Bacteria	35.0
Bartonella silvatica	Bacteria	35.0
Bartonella taylorii	Bacteria	37.0
Bartonella tribocorum	Bacteria	37.0
Bartonella vinsonii	Bacteria	37.0
Bartonella washoensis	None	37.0
Basfia succiniciproducens	Bacteria	37.0
Basilea psittacipulmonis	Bacteria	37.0
Bavariicoccus seileri	Bacteria	34.0
Bavariicoccus seileri	Bacteria	37.0
Bdellovibrio bacteriovorus	Bacteria	25.0
Bdellovibrio bacteriovorus	Bacteria	30.0
Bdellovibrio exovorus	Bacteria	28.0
Beduini massiliensis	Bacteria	37.0
Beggiatoa alba	Bacteria	28.0
Beggiatoa leptomitoformis	Bacteria	25.0
Beijerinckia derxii	Bacteria	30.0
Beijerinckia doebereinerae	Bacteria	28.0
Beijerinckia doebereinerae	Bacteria	30.0
Beijerinckia indica	Bacteria	30.0
Beijerinckia mobilis	Bacteria	30.0
Beijerinckia sp.	Bacteria	30.0
Belliella baltica	Bacteria	28.0
Belliella buryatensis	Bacteria	31.0
Belliella kenyensis	Bacteria	28.0
Belliella pelovolcani	Bacteria	28.0
Bellilinea caldifistulae	Bacteria	55.0
Belnapia moabensis	Bacteria	30.0
Belnapia rosea	Bacteria	28.0
Belnapia soli	Bacteria	28.0
Bergeriella denitrificans	Bacteria	37.0
Bergeyella porcorum	Bacteria	37.0
Bergeyella sp.	Bacteria	37.0
Bergeyella zoohelcum	Bacteria	28.0
Bergeyella zoohelcum	Bacteria	37.0
Bermanella marisrubri	Bacteria	28.0
Bernardetia litoralis	Bacteria	30.0
Beutenbergia cavernae	Bacteria	28.0
Bhargavaea beijingensis	Bacteria	30.0
Bhargavaea cecembensis	Bacteria	30.0
Bhargavaea ginsengi	Bacteria	30.0
Bhargavaea indica	Bacteria	30.0
Bhargavaea ullalensis	Bacteria	28.0
Bibersteinia trehalosi	Bacteria	34.0
Bibersteinia trehalosi	Bacteria	37.0
Bifidobacterium actinocoloniiforme	Bacteria	37.0
Bifidobacterium adolescentis	Bacteria	37.0
Bifidobacterium aemilianum	Bacteria	37.0
Bifidobacterium aerophilum	Bacteria	37.0
Bifidobacterium aesculapii	Bacteria	37.0
Bifidobacterium angulatum	Bacteria	37.0
Bifidobacterium animalis	Bacteria	37.0
Bifidobacterium anseris	Bacteria	37.0
Bifidobacterium apri	Bacteria	37.0
Bifidobacterium aquikefiri	Bacteria	21.0
Bifidobacterium asteroides	Bacteria	37.0
Bifidobacterium avesanii	Bacteria	37.0
Bifidobacterium biavatii	Bacteria	37.0
Bifidobacterium bifidum	Bacteria	37.0
Bifidobacterium bohemicum	Bacteria	37.0
Bifidobacterium bombi	Bacteria	30.0
Bifidobacterium boum	Bacteria	37.0
Bifidobacterium breve	Bacteria	37.0
Bifidobacterium callitrichidarum	Bacteria	37.0
Bifidobacterium callitrichos	Bacteria	37.0
Bifidobacterium catenulatum	Bacteria	37.0
Bifidobacterium catulorum	Bacteria	37.0
Bifidobacterium choerinum	Bacteria	37.0
Bifidobacterium commune	Bacteria	37.0
Bifidobacterium criceti	Bacteria	37.0
Bifidobacterium cuniculi	Bacteria	37.0
Bifidobacterium dentium	Bacteria	37.0
Bifidobacterium eulemuris	Bacteria	39.0
Bifidobacterium gallicum	Bacteria	37.0
Bifidobacterium globosum	Bacteria	37.0
Bifidobacterium hapali	Bacteria	34.0
Bifidobacterium hapali	Bacteria	37.0
Bifidobacterium imperatoris	Bacteria	37.0
Bifidobacterium indicum	Bacteria	37.0
Bifidobacterium italicum	Bacteria	37.0
Bifidobacterium lemurum	Bacteria	37.0
Bifidobacterium longum	Bacteria	37.0
Bifidobacterium magnum	Bacteria	37.0
Bifidobacterium margollesii	Bacteria	37.0
Bifidobacterium mellis	None	37.0
Bifidobacterium melliventris	None	37.0
Bifidobacterium merycicum	Bacteria	37.0
Bifidobacterium minimum	Bacteria	37.0
Bifidobacterium mongoliense	Bacteria	37.0
Bifidobacterium moukalabense	Bacteria	37.0
Bifidobacterium myosotis	Bacteria	36.0
Bifidobacterium myosotis	Bacteria	37.0
Bifidobacterium parmae	Bacteria	37.0
Bifidobacterium porcinum	Bacteria	37.0
Bifidobacterium pseudocatenulatum	Bacteria	37.0
Bifidobacterium pseudolongum	Bacteria	37.0
Bifidobacterium psychraerophilum	Bacteria	37.0
Bifidobacterium pullorum	Bacteria	37.0
Bifidobacterium ramosum	Bacteria	37.0
Bifidobacterium reuteri	Bacteria	37.0
Bifidobacterium ruminantium	Bacteria	37.0
Bifidobacterium saguini	Bacteria	37.0
Bifidobacterium scardovii	Bacteria	37.0
Bifidobacterium sp.	Bacteria	37.0
Bifidobacterium stellenboschense	Bacteria	37.0
Bifidobacterium subtile	Bacteria	37.0
Bifidobacterium thermacidophilum	Bacteria	37.0
Bifidobacterium thermophilum	Bacteria	37.0
Bifidobacterium tissieri	Bacteria	33.0
