organism	domain	temperature
Acidipropionibacterium virtanenii	Bacteria	30.0
Acidisoma sibiricum	Bacteria	20.0
Acidisoma tundrae	Bacteria	20.0
Acidisphaera rubrifaciens	Bacteria	30.0
Aciditerrimonas ferrireducens	None	50.0
Acidithiobacillus albertensis	Bacteria	30.0
Acidithiobacillus caldus	Bacteria	37.0
Acidithiobacillus caldus	Bacteria	45.0
Acidithiobacillus ferridurans	Bacteria	30.0
Acidithiobacillus ferriphilus	Bacteria	30.0
Acidithiobacillus ferrivorans	Bacteria	25.0
Acidithiobacillus ferrivorans	Bacteria	30.0
Acidithiobacillus ferrooxidans	Bacteria	25.0
Acidithiobacillus ferrooxidans	Bacteria	28.0
Acidithiobacillus ferrooxidans	Bacteria	30.0
Acidithiobacillus sp.	Bacteria	45.0
Acidithiobacillus thiooxidans	Bacteria	25.0
Acidithiobacillus thiooxidans	Bacteria	26.0
Acidithiobacillus thiooxidans	Bacteria	28.0
Acidithiobacillus thiooxidans	Bacteria	30.0
Acidobacteriaceae sp.	Bacteria	20.0
Acidobacteriaceae sp.	Bacteria	25.0
Acidobacterium ailaaui	Bacteria	35.0
Acidobacterium capsulatum	Bacteria	30.0
Acidobacterium sp.	Bacteria	25.0
Acidocella aluminiidurans	Bacteria	28.0
Acidocella aminolytica	Bacteria	37.0
Acidocella aquatica	Bacteria	28.0
Acidocella aromatica	Bacteria	30.0
Acidomonas methanolica	Bacteria	30.0
Acidothermus cellulolyticus	Bacteria	55.0
Acidovorax anthurii	Bacteria	28.0
Acidovorax avenae	Bacteria	25.0
Acidovorax avenae	Bacteria	26.0
Acidovorax avenae	Bacteria	28.0
Acidovorax caeni	Bacteria	28.0
Acidovorax cattleyae	Bacteria	28.0
Acidovorax citrulli	Bacteria	25.0
Acidovorax citrulli	Bacteria	28.0
Acidovorax defluvii	Bacteria	30.0
Acidovorax defluvii	Bacteria	37.0
Acidovorax delafieldii	Bacteria	25.0
Acidovorax delafieldii	Bacteria	28.0
Acidovorax delafieldii	Bacteria	30.0
Acidovorax facilis	Bacteria	25.0
Acidovorax facilis	Bacteria	28.0
Acidovorax facilis	Bacteria	30.0
Acidovorax kalamii	Bacteria	29.0
Acidovorax konjaci	Bacteria	25.0
Acidovorax konjaci	Bacteria	28.0
Acidovorax oryzae	Bacteria	25.0
Acidovorax radicis	Bacteria	30.0
Acidovorax soli	Bacteria	28.0
Acidovorax soli	Bacteria	30.0
Acidovorax soli	Bacteria	34.0
Acidovorax sp.	Bacteria	28.0
Acidovorax sp.	Bacteria	30.0
Acidovorax sp.	Bacteria	34.0
Acidovorax sp.	Bacteria	37.0
Acidovorax temperans	Bacteria	25.0
Acidovorax temperans	Bacteria	28.0
Acidovorax temperans	Bacteria	30.0
Acidovorax temperans	Bacteria	34.0
Acidovorax temperans	Bacteria	37.0
Acidovorax valerianellae	Bacteria	28.0
Acidovorax wautersii	Bacteria	28.0
Aciduliprofundum boonei	Archaea	70.0
Acinetobacter albensis	Bacteria	30.0
Acinetobacter apis	Bacteria	30.0
Acinetobacter baumannii	Bacteria	30.0
Acinetobacter baumannii	Bacteria	34.0
Acinetobacter baumannii	Bacteria	37.0
Acinetobacter baylyi	Bacteria	30.0
Acinetobacter beijerinckii	Bacteria	28.0
Acinetobacter beijerinckii	Bacteria	30.0
Acinetobacter bereziniae	Bacteria	30.0
Acinetobacter bereziniae	Bacteria	34.0
Acinetobacter bereziniae	Bacteria	37.0
Acinetobacter bohemicus	Bacteria	30.0
Acinetobacter boissieri	Bacteria	30.0
Acinetobacter bouvetii	Bacteria	30.0
Acinetobacter brisouii	Bacteria	28.0
Acinetobacter calcoaceticus	Bacteria	25.0
Acinetobacter calcoaceticus	Bacteria	28.0
Acinetobacter calcoaceticus	Bacteria	30.0
Acinetobacter calcoaceticus	Bacteria	34.0
Acinetobacter calcoaceticus	Bacteria	36.0
Acinetobacter calcoaceticus	Bacteria	37.0
Acinetobacter celticus	Bacteria	15.0
Acinetobacter colistiniresistens	Bacteria	37.0
Acinetobacter courvalinii	Bacteria	30.0
Acinetobacter dispersus	Bacteria	30.0
Acinetobacter equi	Bacteria	37.0
Acinetobacter gandensis	Bacteria	30.0
Acinetobacter gandensis	Bacteria	37.0
Acinetobacter genomospecies	Bacteria	28.0
Acinetobacter genomospecies	Bacteria	29.0
Acinetobacter gerneri	Bacteria	30.0
Acinetobacter guillouiae	Bacteria	30.0
Acinetobacter guillouiae	Bacteria	34.0
Acinetobacter guillouiae	Bacteria	37.0
Acinetobacter gyllenbergii	Bacteria	30.0
Acinetobacter gyllenbergii	Bacteria	37.0
Acinetobacter haemolyticus	Bacteria	28.0
Acinetobacter haemolyticus	Bacteria	30.0
Acinetobacter harbinensis	Bacteria	25.0
Acinetobacter indicus	Bacteria	30.0
Acinetobacter johnsonii	Bacteria	28.0
Acinetobacter johnsonii	Bacteria	30.0
Acinetobacter johnsonii	Bacteria	31.0
Acinetobacter johnsonii	Bacteria	34.0
Acinetobacter johnsonii	Bacteria	37.0
Acinetobacter junii	Bacteria	28.0
Acinetobacter junii	Bacteria	30.0
Acinetobacter junii	Bacteria	34.0
Acinetobacter kookii	Bacteria	37.0
Acinetobacter lactucae	Bacteria	30.0
Acinetobacter lactucae	Bacteria	35.0
Acinetobacter larvae	Bacteria	28.0
Acinetobacter libanensis	None	30.0
Acinetobacter lwoffii	Bacteria	28.0
Acinetobacter lwoffii	Bacteria	30.0
Acinetobacter lwoffii	Bacteria	34.0
Acinetobacter lwoffii	Bacteria	35.0
Acinetobacter lwoffii	Bacteria	37.0
Acinetobacter marinus	Bacteria	30.0
Acinetobacter modestus	Bacteria	30.0
Acinetobacter nectaris	Bacteria	30.0
Acinetobacter nosocomialis	Bacteria	30.0
Acinetobacter nosocomialis	Bacteria	34.0
Acinetobacter nosocomialis	Bacteria	37.0
Acinetobacter oleivorans	None	30.0
Acinetobacter oryzae	None	30.0
Acinetobacter parvus	Bacteria	25.0
Acinetobacter parvus	Bacteria	28.0
Acinetobacter parvus	Bacteria	30.0
Acinetobacter parvus	Bacteria	34.0
Acinetobacter parvus	Bacteria	37.0
Acinetobacter piscicola	Bacteria	18.0
Acinetobacter pittii	Bacteria	28.0
Acinetobacter pittii	Bacteria	30.0
Acinetobacter pittii	Bacteria	34.0
Acinetobacter pittii	Bacteria	37.0
Acinetobacter plantarum	None	30.0
Acinetobacter pragensis	Bacteria	24.0
Acinetobacter proteolyticus	Bacteria	30.0
Acinetobacter pseudolwoffii	Bacteria	30.0
Acinetobacter puyangensis	Bacteria	30.0
Acinetobacter qingfengensis	Bacteria	30.0
Acinetobacter radioresistens	Bacteria	28.0
Acinetobacter radioresistens	Bacteria	30.0
Acinetobacter radioresistens	Bacteria	34.0
Acinetobacter radioresistens	Bacteria	37.0
Acinetobacter refrigeratoris	None	30.0
Acinetobacter rudis	Bacteria	30.0
Acinetobacter schindleri	Bacteria	28.0
Acinetobacter schindleri	Bacteria	30.0
Acinetobacter schindleri	Bacteria	34.0
Acinetobacter seifertii	Bacteria	30.0
Acinetobacter seifertii	Bacteria	37.0
Acinetobacter seohaensis	Bacteria	30.0
Acinetobacter septicus	Bacteria	37.0
Acinetobacter soli	Bacteria	28.0
Acinetobacter soli	Bacteria	30.0
Acinetobacter soli	Bacteria	37.0
Acinetobacter sp.	Bacteria	25.0
Acinetobacter sp.	Bacteria	26.0
Acinetobacter sp.	Bacteria	28.0
Acinetobacter sp.	Bacteria	30.0
Acinetobacter sp.	Bacteria	34.0
Acinetobacter sp.	Bacteria	37.0
Acinetobacter sp.	Bacteria	44.0
Acinetobacter tandoii	Bacteria	30.0
Acinetobacter tandoii	Bacteria	37.0
Acinetobacter tjernbergiae	Bacteria	30.0
Acinetobacter towneri	Bacteria	30.0
Acinetobacter ursingii	Bacteria	28.0
Acinetobacter ursingii	Bacteria	30.0
Acinetobacter ursingii	Bacteria	37.0
Acinetobacter variabilis	Bacteria	30.0
Acinetobacter variabilis	Bacteria	37.0
Acinetobacter venetianus	Bacteria	28.0
Acinetobacter venetianus	Bacteria	37.0
Acinetobacter vivianii	Bacteria	30.0
Acrocarpospora corrugata	Bacteria	28.0
Acrocarpospora macrocephala	Bacteria	28.0
Acrocarpospora phusangensis	Bacteria	28.0
Acrocarpospora pleiomorpha	Bacteria	28.0
Actibacter sediminis	Bacteria	25.0
Actibacterium mucosum	Bacteria	30.0
Actibacterium pelagium	Bacteria	23.0
Actibacterium ureilyticum	Bacteria	28.0
Actinacidiphilus wushanense	Bacteria	28.0
Actinoacidiphilus directus	Bacteria	28.0
Actinoacidiphilus flexuosus	Bacteria	28.0
Actinoacidiphilus helicoides	Bacteria	28.0
Actinoallomurus acaciae	Bacteria	28.0
Actinoallomurus acanthiterrae	Bacteria	28.0
Actinoallomurus amamiensis	Bacteria	28.0
Actinoallomurus bryophytorum	Bacteria	28.0
Actinoallomurus caesius	Bacteria	28.0
Actinoallomurus coprocola	Bacteria	28.0
Actinoallomurus fulvus	Bacteria	28.0
Actinoallomurus iriomotensis	Bacteria	28.0
Actinoallomurus liliacearum	Bacteria	28.0
Actinoallomurus luridus	Bacteria	28.0
Actinoallomurus oryzae	Bacteria	28.0
Actinoallomurus purpureus	Bacteria	28.0
Actinoallomurus radicium	Bacteria	28.0
Actinoallomurus spadix	Bacteria	28.0
Actinoallomurus vinaceus	Bacteria	28.0
Actinoallomurus yoronensis	Bacteria	28.0
Actinoalloteichus cyanogriseus	Bacteria	28.0
Actinoalloteichus hoggarensis	Bacteria	28.0
Actinoalloteichus hymeniacidonis	Bacteria	28.0
Actinoalloteichus nanshanensis	Bacteria	28.0
Actinoalloteichus sp.	Bacteria	28.0
Actinoalloteichus spitiensis	Bacteria	30.0
Actinobacillus anseriformium	Bacteria	37.0
Actinobacillus arthritidis	Bacteria	37.0
